Name,Amount Needed,City,Region
Micro Processor,"1,000","Toronto, ON",Canada West
Micro Processor,"3,300",Total Amount,
Oil,25,"Richmond, VA",USA East
Oil,50,"Helena, MT",USA Center
Oil,50,"Providence, RI",USA East
Oil,150,"Halifax, NS",Canada East
Oil,150,"Irkutsk, RU",Russia East
Oil,350,"Almaty, KZ",Asia Central
Oil,"1,000","Banff, AB",Canada West
Oil,"1,775",Total Amount,
Onion,25,"Chisinau, MD",Europe East
Onion,50,"Bratislava, SK",Europe East
Onion,150,"Zagreb, HR",Europe South
Onion,350,"Prague, CZ",Europe East
Onion,350,"Samara, RU",Russia West
Onion,"1,000",Durango,Mexico
Onion,"1,925",Total Amount,
Orange,25,"Iskut, BC",Canada West
Orange,25,"Jefferson City, MO",USA South
Orange,50,"Hartford, CT",USA East
Orange,50,"Petropavlovsk-Kamchatsky, RU",Russia East
Orange,150,"Sacramento, CA",USA West
Orange,350,"Washington, DC",USA East
Orange,350,"Uralsk, KZ",Asia Central
Orange,"1,000",Total Amount,
Paper,50,"Madison, WI",USA Center
Paper,50,"Tallahassee, FL",USA South
Paper,150,"Raleigh, NC",USA East
Paper,150,"Blagoveshchensk, RU",Russia East
Paper,350,"Columbus, OH",USA East
Paper,350,Acapulco,Mexico
Paper,"1,100",Total Amount,
Parka,350,"Ottawa, ON",Canada East
Parka,"1,000","Seattle, WA",USA West
Parka,"1,000","Berlin, DE",Europe North
Parka,"2,350",Total Amount,
Pasta,50,"Luxembourg, LU",Europe West
Pasta,50,"Naples, IT",Europe South
Pasta,150,"Cardiff, UK",Europe West
Pasta,"1,000","Panama, PA",Central America
Pasta,"1,000",Cancun,Mexico
Pasta,"2,250",Total Amount,
Peanut,25,Guasave,Mexico
Peanut,25,San Luis Potosi,Mexico
Peanut,350,La Paz,Mexico
Peanut,"1,000",The Bahamas,Caribbean
Peanut,"1,400",Total Amount,
Pig,25,"Augusta, ME",USA East
Pig,50,"Trenton, NJ",USA East
Pig,150,"Regina, SK",Canada Center
Pig,150,"Wood Buffalo, AB",Canada West
Pig,350,"Dallas, TX",USA South
Pig,725,Total Amount,
Pineapple,350,"Tashkent, UZ",Asia Central
Pineapple,350,Total Amount,
Pizza,25,"Toledo, OH",USA East
Pizza,50,"Lincoln, NE",USA Center
Pizza,150,"London, ON",Canada East
Pizza,150,"Winnipeg, MB",Canada Center
Pizza,350,"Austin, TX",USA South
Pizza,"1,000","Los Angeles, CA",USA West
Pizza,"1,725",Total Amount,
Poutine,50,"Kamloops, BC",Canada West
Poutine,50,"Punta Cana, CD",Caribbean
Poutine,150,"Portland, OR",USA West
Poutine,150,Ciudad Obregon,Mexico
Poutine,"1,000",Ciudad Juarez,Mexico
Poutine,"1,000","Houston, TX",USA South
Poutine,"2,400",Total Amount,
Power Cable,150,"Saransk, RU",Russia West
Power Cable,150,Total Amount,
Pumpkin,150,"Ust-Kamenogorsk, KZ",Asia Central
Pumpkin,150,Total Amount,
Russian Building Block,50,"Aktau, KZ",Asia Central
Russian Building Block,150,"Syktyvkar, RU",Russia West
Russian Building Block,200,Total Amount,
Russian Perfume,150,"Arkhangelsk, RU",Russia West
Russian Perfume,150,Total Amount,
Salmon,25,"Little Rock, AK",USA South
Salmon,25,"Magadan, RU",Russia East
Salmon,50,"Charleston, WV",USA East
Salmon,150,"Saskatoon, SK",Canada Center
Salmon,150,"Vladivostok, RU",Russia East
Salmon,350,"Memphis, TN",USA South
Salmon,"1,000",Chihuahua,Mexico
Salmon,"1,750",Total Amount,
Samovar,150,"Grozny, RU",Russia West
Samovar,150,Total Amount,
Sausage,25,"Ostrava, CZ",Europe East
Sausage,25,"Mirny, RU",Russia East
Sausage,50,"Lisbon, PT",Europe South
Sausage,50,"La Ceiba, HN",Central America
Sausage,150,"Nantes, FR",Europe West
Sausage,350,"Dublin, IE",Europe West
Sausage,650,Total Amount,
Shapka,150,"Saratov, RU",Russia West
Shapka,150,Total Amount,
Sheep,25,"Sofia, BG",Europe East
Sheep,50,"Ljubljana, SK",Europe South
Sheep,150,"Edinburgh, UK",Europe West
Sheep,350,"Bern, CH",Europe West
Sheep,350,"Omsk, RU",Russia East
Sheep,"1,000",Oaxaca,Mexico
Sheep,"1,925",Total Amount,
Steel,150,"Baton Rouge, LA",USA South
Steel,150,"Charlottetown, PE",Canada East
Steel,150,"Havana, CU",Caribbean
Steel,350,"Edmonton, AB",Canada West
Steel,350,"Volgograd, RU",Russia West
Steel,350,Mazatlan,Mexico
Steel,"1,500",Total Amount,
Strawberry,25,"Fort Stockton, TX",USA South
Strawberry,25,"Yellowknife, NT",Canada West
Strawberry,25,"Galway, IE",Europe West
Strawberry,150,"Samarkand, UZ",Asia Central
Strawberry,350,"Boston, MA",USA East
Strawberry,350,"Santa Clara, CU",Caribbean
Strawberry,"1,000","Milano, IT",Europe South
Strawberry,"1,925",Total Amount,
Tea,25,"Vaduz, LT",Europe West
Tea,25,"San Pedro Sula, HN",Central America
Tea,50,"Southhampton, UK",Europe West
Tea,150,"Oryol Oblast, RU",Russia West
Tea,350,"Amsterdam, NL",Europe West
Tea,"1,000","London, UK",Europe West
Tea,"1,600",Total Amount,
Tomato,25,"Bluefields, NI",Central America
Tomato,50,"Camaguey, CU",Caribbean
Tomato,50,"Puerto Canezas, NI",Central America
Tomato,150,"Penza, RU",Russia West
Tomato,350,Saltillo,Mexico
Tomato,"1,000","San Jose, CR",Central America
Tomato,"1,625",Total Amount,
Tulip,50,"Sarajevo, HB",Europe South
Tulip,150,"Warsaw, PL",Europe North
Tulip,150,Cabo San Lucas,Mexico
Tulip,150,"Barnaul, RU",Russia East
Tulip,350,"Andorra, AD",Europe South
Tulip,"1,000","Paris, FR",Europe West
Tulip,"1,850",Total Amount,
Uranium,25,"Khatanga, RU",Russia East
Uranium,350,"Kazan, RU",Russia West
Uranium,375,Total Amount,
Utility Knife,25,"Minsk, BY",Europe North
Utility Knife,25,"Managua, NI",Central America
Utility Knife,50,"Vilnius, LT",Europe North
Utility Knife,150,"Stockholm, SE",Europe North
Utility Knife,350,"Oslo, NO",Europe North
Utility Knife,600,Total Amount,
Valenki,50,"Abakan, RU",Russia East
Valenki,150,"Murmansk, RU",Russia West
Valenki,200,Total Amount,
Watch,350,Chelyabinsk,Russia West
Watch,350,Total Amount,
Water,50,"Fort McMurray, AB",Canada West
Water,50,"Bucharest, RO",Europe East
Water,150,"San Marino, IT",Europe South
Water,150,"Santiago de Cuba, CU",Caribbean
Water,150,"Aktobe, KZ",Asia Central
Water,"1,000","Las Vegas, NV",USA West
Water,"1,550",Total Amount,
Watermelon,150,"Astana, KZ",Asia Central
Watermelon,150,Total Amount,
Wheat,25,"Edmundston, NB",Canada East
Wheat,25,"Batagay, RU",Russia East
Wheat,50,"Boise, ID",USA West
Wheat,50,"Jackson, MS",USA South
Wheat,50,"Port-au-Prince, HT",Caribbean
Wheat,150,"Indianapolis, IN",USA Center
Wheat,150,"Osh, KG",Asia Central
Wheat,150,"Petrotavodsk, RU",Russia West
Wheat,"1,000","Moscow, RU",Russia West
Wheat,"1,650",Total Amount,
Wood,25,"Concord, NH",USA East
Wood,25,"Frankfort, KY",USA South
Wood,25,"Nyagan, RU",Russia East
Wood,25,"Zhezqazghan, KZ",Asia Central
Wood,50,"Montgomery, AL",USA South
Wood,50,"Maykop, RU",Russia West
Wood,150,"Port-de-Paix, HT",Caribbean
Wood,150,"St. Louis, MO",USA Center
Wood,150,"Yakutsk, RU",Russia East
Wood,650,Total Amount,
Zhostovo Tray,150,"Yaroslavl, RU",Russia West
Zhostovo Tray,150,Total Amount,
